,0
219,'11240';'Graz/Flughafen';'340';'2021-02-05';'03:00';'3.0';'°C';'2021-02-05 03:10:09'
220,'11240';'Graz/Flughafen';'340';'2021-02-05';'04:00';'2.1';'°C';'2021-02-05 04:10:08'
221,'11240';'Graz/Flughafen';'340';'2021-02-05';'05:00';'1.4';'°C';'2021-02-05 05:10:09'
222,'11240';'Graz/Flughafen';'340';'2021-02-05';'06:00';'1.0';'°C';'2021-02-05 06:10:09'
223,'11240';'Graz/Flughafen';'340';'2021-02-05';'07:00';'0.6';'°C';'2021-02-05 07:10:17'
224,'11240';'Graz/Flughafen';'340';'2021-02-05';'08:00';'0.5';'°C';'2021-02-05 08:10:16'
225,'11240';'Graz/Flughafen';'340';'2021-02-05';'09:00';'2.1';'°C';'2021-02-05 09:10:16'
226,'11240';'Graz/Flughafen';'340';'2021-02-05';'10:00';'4.9';'°C';'2021-02-05 10:10:08'
227,'11240';'Graz/Flughafen';'340';'2021-02-05';'11:00';'6.2';'°C';'2021-02-05 11:10:12'
228,'11240';'Graz/Flughafen';'340';'2021-02-05';'12:00';'8.1';'°C';'2021-02-05 12:10:09'
229,'11240';'Graz/Flughafen';'340';'2021-02-05';'13:00';'9.9';'°C';'2021-02-05 13:10:09'
230,'11240';'Graz/Flughafen';'340';'2021-02-05';'14:00';'10.7';'°C';'2021-02-05 14:10:09'
231,'11240';'Graz/Flughafen';'340';'2021-02-05';'15:00';'11.8';'°C';'2021-02-05 15:10:09'
232,'11240';'Graz/Flughafen';'340';'2021-02-05';'16:00';'12.5';'°C';'2021-02-05 16:10:12'
233,'11240';'Graz/Flughafen';'340';'2021-02-05';'17:00';'9.8';'°C';'2021-02-05 17:10:10'
234,'11240';'Graz/Flughafen';'340';'2021-02-05';'18:00';'7.1';'°C';'2021-02-05 18:10:12'
235,'11240';'Graz/Flughafen';'340';'2021-02-05';'19:00';'3.6';'°C';'2021-02-05 19:10:18'
236,'11240';'Graz/Flughafen';'340';'2021-02-05';'20:00';'2.9';'°C';'2021-02-05 20:10:09'
237,'11240';'Graz/Flughafen';'340';'2021-02-05';'21:00';'3.0';'°C';'2021-02-05 21:10:10'
238,'11240';'Graz/Flughafen';'340';'2021-02-05';'22:00';'3.2';'°C';'2021-02-05 22:10:09'
239,'11240';'Graz/Flughafen';'340';'2021-02-05';'23:00';'3.1';'°C';'2021-02-05 23:10:09'
240,'11240';'Graz/Flughafen';'340';'2021-02-06';'00:00';'2.4';'°C';'2021-02-06 00:10:11'
241,'11240';'Graz/Flughafen';'340';'2021-02-06';'01:00';'2.2';'°C';'2021-02-06 01:10:08'
242,'11240';'Graz/Flughafen';'340';'2021-02-06';'02:00';'0.8';'°C';'2021-02-06 02:10:10'
